OrderID,OrderDate,CustomerID,CustomerName,City,State,Country,ZipCode,TableNumber,ServerID,MenuItemID,MenuItemName,Category,SubCategory,Quantity,Sales,Discount,TotalCost,OrderStatus,PaymentStatus,DeliveryMethod,OrderPriority
O016,2024-10-23,C4196,"Alyssa Weiss",Naperville,IL,"United States",60540,8,S005,M006,"Caprese Salad",Other,Miscellaneous,2,148.86,0.36,148.50,Cancelled,Unpaid,Takeaway,Low
O017,2024-09-29,C2116,"Steven Mitchell",Aurora,IL,"United States",60505,5,S019,M103,Calzone,Other,Miscellaneous,4,449.44,7.02,442.42,Cancelled,Paid,Dine-in,Medium
O018,2024-10-25,C331,"Julie West",Aurora,IL,"United States",60505,8,S053,M124,Galaktoboureko,Other,Miscellaneous,5,444.85,26.64,418.21,Pending,Paid,Takeaway,Medium
O019,2024-10-03,C8089,"Carly Jones",Peoria,IL,"United States",61602,7,S071,M090,Souvlaki,Greek,Appetizer,4,668.80,16.76,652.04,Pending,Unpaid,Takeaway,High
O020,2024-10-22,C7490,"Catherine Alexander",Rockford,IL,"United States",61101,1,S015,M027,Lahmacun,Turkish,Pastry,3,91.71,4.21,87.50,Cancelled,Unpaid,Dine-in,High
O021,2024-09-27,C1292,"John Cook",Chicago,IL,"United States",60601,10,S023,M003,Carbonara,Italian,Pasta,5,327.20,11.89,315.31,Cancelled,Unpaid,Takeaway,Medium
O022,2024-10-09,C7224,"Emily Carroll",Rockford,IL,"United States",61101,18,S048,M011,"Imam Bayildi",Other,Miscellaneous,5,284.10,19.71,264.39,Completed,Paid,Delivery,High
O023,2024-10-09,C2056,"Dennis Walker",Aurora,IL,"United States",60505,10,S059,M077,"Fettuccine Alfredo",Italian,Pasta,3,376.26,33.23,343.03,Pending,Paid,Delivery,Low
O024,2024-10-03,C4329,"Christopher Young",Naperville,IL,"United States",60540,16,S046,M049,Menemen,Other,Miscellaneous,1,42.78,3.24,39.54,Completed,Unpaid,Dine-in,High
O025,2024-10-15,C3694,"Christopher Douglas",Aurora,IL,"United States",60505,9,S091,M133,Lahmacun,Turkish,Pastry,1,144.48,7.14,137.34,Cancelled,Paid,Dine-in,Low
O026,2024-10-16,C1938,"William Mays",Chicago,IL,"United States",60601,18,S047,M022,"Kuzu Tandir",Other,Miscellaneous,4,596.52,47.78,548.74,Pending,Paid,Delivery,Medium
O027,2024-10-19,C8933,"Kenneth Freeman",Peoria,IL,"United States",61602,2,S050,M004,Pide,Turkish,Flatbread,1,110.97,7.25,103.72,Cancelled,Unpaid,Dine-in,High
O028,2024-10-15,C9392,"Taylor Wallace",Peoria,IL,"United States",61602,5,S025,M119,"Doner Kebab",Turkish,Kebab,1,32.89,1.93,30.96,Completed,Paid,Takeaway,Medium
O029,2024-10-14,C6513,"Beth Barnes",Rockford,IL,"United States",61101,6,S013,M093,Tzatziki,Greek,Appetizer,4,88.52,1.26,87.26,Pending,Paid,Takeaway,High
O030,2024-10-12,C4273,"Charles Mitchell",Naperville,IL,"United States",60540,17,S020,M036,Loukoumades,Other,Miscellaneous,2,205.56,4.14,201.42,Cancelled,Paid,Dine-in,Medium
O031,2024-10-01,C1059,"Kevin Clements",Chicago,IL,"United States",60601,12,S057,M047,Gnocchi,Italian,Pasta,2,219.92,21.92,198.00,Pending,Unpaid,Dine-in,Low
O032,2024-10-05,C4136,"Tina Mitchell",Naperville,IL,"United States",60540,17,S051,M007,"Adana Kebab",Turkish,Kebab,1,93.19,1.39,91.80,Cancelled,Unpaid,Delivery,High
O033,2024-10-17,C2074,"Cody Santiago",Aurora,IL,"United States",60505,2,S010,M042,Kofte,Turkish,Pastry,5,637.15,30.17,606.98,Completed,Unpaid,Delivery,Low
O034,2024-10-03,C6871,"Christopher Williams",Rockford,IL,"United States",61101,14,S018,M099,Lahmacun,Turkish,Pastry,1,28.12,0.05,28.07,Pending,Unpaid,Dine-in,High
O035,2024-10-02,C413,"Kimberly Tucker",Naperville,IL,"United States",60540,1,S023,M022,"Kuzu Tandir",Other,Miscellaneous,2,298.26,5.88,292.38,Completed,Unpaid,Takeaway,Low
O036,2024-10-21,C6558,"Brent Long",Rockford,IL,"United States",61101,17,S053,M042,Kofte,Turkish,Pastry,2,254.86,12.95,241.91,Cancelled,Paid,Takeaway,High
O037,2024-10-18,C9846,"Christian Moss",Peoria,IL,"United States",61602,15,S038,M075,"Kuzu Tandir",Other,Miscellaneous,3,419.22,26.13,393.09,Cancelled,Unpaid,Dine-in,High
O038,2024-10-10,C2090,"Sarah Carpenter",Aurora,IL,"United States",60505,4,S013,M115,Moussaka,Greek,Casserole,1,95.52,5.24,90.28,Cancelled,Unpaid,Delivery,Low
O039,2024-10-16,C752,"Kristina Clayton",Rockford,IL,"United States",61101,3,S061,M141,Minestrone,Other,Miscellaneous,3,534.30,18.81,515.49,Pending,Paid,Delivery,High
O040,2024-10-07,C5802,"Charles Knight",Naperville,IL,"United States",60540,18,S027,M101,Spanakopita,Other,Miscellaneous,5,51.85,2.78,49.07,Pending,Unpaid,Takeaway,Medium
O041,2024-10-16,C6233,"Jacqueline Nelson",Rockford,IL,"United States",61101,16,S097,M135,Calzone,Other,Miscellaneous,1,143.78,9.97,133.81,Cancelled,Unpaid,Dine-in,High
O042,2024-10-25,C4767,"Jeffrey Garcia",Naperville,IL,"United States",60540,5,S058,M062,Moussaka,Greek,Casserole,4,160.84,5.83,155.01,Pending,Paid,Delivery,Medium
O043,2024-10-08,C4180,"Tanya Kennedy",Naperville,IL,"United States",60540,13,S024,M124,Galaktoboureko,Other,Miscellaneous,3,266.91,12.52,254.39,Completed,Unpaid,Takeaway,High
O044,2024-10-01,C811,"Sean Austin",Peoria,IL,"United States",61602,17,S083,M006,"Caprese Salad",Other,Miscellaneous,3,223.29,2.54,220.75,Completed,Unpaid,Takeaway,High
O045,2024-10-21,C5274,"Karen Barker",Naperville,IL,"United States",60540,7,S082,M011,"Imam Bayildi",Other,Miscellaneous,4,227.28,1.33,225.95,Cancelled,Unpaid,Delivery,Low
O046,2024-10-23,C8618,"Virginia Rodriguez",Peoria,IL,"United States",61602,3,S068,M026,Galaktoboureko,Other,Miscellaneous,5,505.60,7.00,498.60,Pending,Unpaid,Takeaway,Low
O047,2024-10-02,C4273,"Charles Mitchell",Naperville,IL,"United States",60540,12,S033,M119,"Doner Kebab",Turkish,Kebab,3,98.67,8.12,90.55,Cancelled,Unpaid,Delivery,Low
O048,2024-10-15,C2303,"Victor Bryant",Aurora,IL,"United States",60505,16,S007,M143,Tzatziki,Greek,Appetizer,5,757.45,8.88,748.57,Pending,Paid,Delivery,Medium
O049,2024-10-11,C7076,"Joe Ward",Rockford,IL,"United States",61101,8,S077,M146,Dolmades,Greek,Appetizer,1,58.73,3.63,55.10,Cancelled,Unpaid,Dine-in,Low
O050,2024-10-09,C9227,"Christine Gardner",Peoria,IL,"United States",61602,4,S053,M061,Moussaka,Greek,Casserole,5,742.70,5.97,736.73,Cancelled,Unpaid,Takeaway,Low
O051,2024-10-07,C6683,"Paula Zimmerman",Rockford,IL,"United States",61101,3,S077,M062,Moussaka,Greek,Casserole,2,80.42,2.36,78.06,Cancelled,Unpaid,Takeaway,Low
O052,2024-10-06,C2601,"Sydney Sanchez",Aurora,IL,"United States",60505,11,S053,M027,Lahmacun,Turkish,Pastry,5,152.85,6.80,146.05,Cancelled,Paid,Delivery,Low
O053,2024-10-02,C7208,"Sabrina Baker",Rockford,IL,"United States",61101,1,S021,M065,Carbonara,Italian,Pasta,4,224.44,22.00,202.44,Pending,Paid,Dine-in,High
O054,2024-10-08,C3515,"Donna Reynolds",Aurora,IL,"United States",60505,15,S055,M051,"Greek Salad",Greek,Salad,4,579.00,49.93,529.07,Completed,Paid,Dine-in,Medium
O055,2024-10-23,C5196,"Kerri Dixon",Naperville,IL,"United States",60540,10,S004,M089,Spaghetti,Italian,Pasta,2,318.02,9.52,308.50,Completed,Unpaid,Delivery,High
O056,2024-10-19,C7235,"Peter Levine",Rockford,IL,"United States",61101,11,S015,M103,Calzone,Other,Miscellaneous,3,337.08,27.85,309.23,Pending,Unpaid,Takeaway,Medium
O057,2024-10-01,C4201,"Sharon Rhodes",Naperville,IL,"United States",60540,13,S034,M075,"Kuzu Tandir",Other,Miscellaneous,5,698.70,61.63,637.07,Pending,Unpaid,Delivery,High
O058,2024-10-07,C5115,"Angela Jones",Naperville,IL,"United States",60540,10,S066,M076,"Greek Salad",Greek,Salad,4,203.16,13.38,189.78,Pending,Paid,Takeaway,Medium
O059,2024-10-03,C303,"Timothy Tapia",Aurora,IL,"United States",60505,20,S072,M132,Fasolada,Other,Miscellaneous,4,532.04,33.58,498.46,Completed,Unpaid,Takeaway,High
O060,2024-10-06,C7781,"Gerald Holt",Rockford,IL,"United States",61101,19,S003,M017,Ravioli,Italian,Pasta,2,106.92,8.15,98.77,Cancelled,Unpaid,Delivery,Low
O061,2024-10-22,C6503,"Robert Hernandez",Rockford,IL,"United States",61101,14,S049,M037,Tzatziki,Greek,Appetizer,5,960.10,18.87,941.23,Cancelled,Unpaid,Delivery,Low
O062,2024-09-30,C2344,"Tammy Walker",Aurora,IL,"United States",60505,8,S081,M062,Moussaka,Greek,Casserole,4,160.84,9.69,151.15,Cancelled,Paid,Dine-in,High
O063,2024-09-30,C8581,"Gerald Hernandez",Peoria,IL,"United States",61602,15,S060,M008,Risotto,Other,Miscellaneous,5,838.20,11.29,826.91,Cancelled,Unpaid,Delivery,Medium
O064,2024-09-29,C2590,"Alyssa Price",Aurora,IL,"United States",60505,15,S055,M133,Lahmacun,Turkish,Pastry,4,577.92,29.89,548.03,Cancelled,Unpaid,Delivery,Low
O065,2024-10-20,C8941,"Suzanne Jones",Peoria,IL,"United States",61602,14,S004,M080,Lahmacun,Turkish,Pastry,2,299.70,14.74,284.96,Pending,Paid,Delivery,Low
O066,2024-10-09,C9332,"Rebecca Alexander",Peoria,IL,"United States",61602,20,S091,M110,Loukoumades,Other,Miscellaneous,3,578.13,9.24,568.89,Pending,Paid,Takeaway,Low
O067,2024-10-15,C8696,"Shawn Mayer",Peoria,IL,"United States",61602,14,S063,M031,Pastitsio,Other,Miscellaneous,2,139.40,13.92,125.48,Completed,Unpaid,Delivery,High
O068,2024-10-05,C9226,"Ariel Hudson",Peoria,IL,"United States",61602,2,S023,M090,Souvlaki,Greek,Appetizer,1,167.20,7.66,159.54,Pending,Paid,Takeaway,Low
O069,2024-10-16,C1567,"Elizabeth King",Chicago,IL,"United States",60601,11,S095,M091,Gnocchi,Italian,Pasta,1,144.76,6.10,138.66,Pending,Unpaid,Dine-in,High
O070,2024-10-13,C334,"Rachel Davis",Aurora,IL,"United States",60505,14,S059,M088,Spaghetti,Italian,Pasta,4,448.76,6.72,442.04,Pending,Paid,Takeaway,Medium
O071,2024-09-27,C4006,"James Chapman",Naperville,IL,"United States",60540,14,S084,M017,Ravioli,Italian,Pasta,5,267.30,23.51,243.79,Pending,Unpaid,Dine-in,Low
O072,2024-10-22,C2076,"Ashley Johnson",Aurora,IL,"United States",60505,5,S044,M048,Ravioli,Italian,Pasta,1,158.59,7.28,151.31,Completed,Unpaid,Delivery,High
O073,2024-10-02,C2692,"Matthew Hunt",Aurora,IL,"United States",60505,14,S057,M054,Risotto,Other,Miscellaneous,4,684.88,60.85,624.03,Completed,Paid,Takeaway,High
O074,2024-10-20,C6911,"Jacqueline Mayer",Rockford,IL,"United States",61101,13,S099,M112,"Fettuccine Alfredo",Italian,Pasta,3,308.82,8.76,300.06,Completed,Paid,Delivery,Medium
O075,2024-10-07,C2107,"Sandra Walker",Aurora,IL,"United States",60505,13,S034,M121,Kofte,Turkish,Pastry,1,17.85,0.24,17.61,Cancelled,Paid,Takeaway,High
O076,2024-10-12,C9100,"Kevin Jones",Peoria,IL,"United States",61602,15,S062,M039,"Iskender Kebab",Other,Miscellaneous,5,224.85,3.05,221.80,Cancelled,Paid,Dine-in,Low
O077,2024-10-20,C4175,"Phillip Smith",Naperville,IL,"United States",60540,5,S032,M098,Kofte,Turkish,Pastry,4,51.12,4.21,46.91,Pending,Paid,Dine-in,Medium
O078,2024-10-11,C2579,"Jason Curtis",Aurora,IL,"United States",60505,9,S040,M105,Risotto,Other,Miscellaneous,4,384.28,21.81,362.47,Completed,Paid,Dine-in,Low
O079,2024-10-19,C4380,"Jason Carter",Naperville,IL,"United States",60540,17,S014,M054,Risotto,Other,Miscellaneous,2,342.44,22.68,319.76,Pending,Paid,Dine-in,Medium
O080,2024-10-13,C6365,"Emma Brewer",Rockford,IL,"United States",61101,13,S005,M082,Borek,Turkish,Pastry,1,155.34,5.80,149.54,Cancelled,Unpaid,Takeaway,Low
O081,2024-10-14,C7520,"Sandra Nelson",Rockford,IL,"United States",61101,11,S052,M023,"Adana Kebab",Turkish,Kebab,5,828.85,44.37,784.48,Cancelled,Paid,Takeaway,Low
O082,2024-10-12,C8466,"Brittany Wilkerson",Peoria,IL,"United States",61602,10,S023,M136,Ravioli,Italian,Pasta,2,196.54,13.62,182.92,Completed,Unpaid,Delivery,Low
O083,2024-10-24,C2914,"Patricia Sullivan",Aurora,IL,"United States",60505,1,S003,M023,"Adana Kebab",Turkish,Kebab,5,828.85,13.43,815.42,Completed,Unpaid,Dine-in,Low
O084,2024-10-04,C6160,"Martha Horne",Rockford,IL,"United States",61101,12,S066,M092,"Greek Salad",Greek,Salad,2,399.70,14.41,385.29,Cancelled,Paid,Delivery,Medium
O085,2024-10-09,C2997,"Lisa Smith",Aurora,IL,"United States",60505,8,S077,M051,"Greek Salad",Greek,Salad,4,579.00,57.20,521.80,Cancelled,Unpaid,Takeaway,High
O086,2024-09-29,C5716,"Joseph Camacho",Naperville,IL,"United States",60540,2,S072,M146,Dolmades,Greek,Appetizer,2,117.46,8.42,109.04,Completed,Unpaid,Delivery,Low
O087,2024-10-12,C3895,"Michelle Davis",Aurora,IL,"United States",60505,17,S044,M057,Souvlaki,Greek,Appetizer,1,28.97,1.52,27.45,Pending,Unpaid,Delivery,High
O088,2024-10-16,C8417,"Laurie Montgomery",Peoria,IL,"United States",61602,16,S084,M135,Calzone,Other,Miscellaneous,2,287.56,24.30,263.26,Pending,Paid,Delivery,Low
O089,2024-10-24,C7364,"Charlene Malone",Rockford,IL,"United States",61101,4,S065,M013,Loukoumades,Other,Miscellaneous,5,479.25,6.32,472.93,Completed,Paid,Delivery,Low
O090,2024-10-07,C3912,"Jasmine Clark",Aurora,IL,"United States",60505,19,S059,M112,"Fettuccine Alfredo",Italian,Pasta,1,102.94,2.36,100.58,Completed,Unpaid,Delivery,Low
O091,2024-09-27,C2455,"Michael Bowen",Aurora,IL,"United States",60505,6,S047,M115,Moussaka,Greek,Casserole,1,95.52,1.24,94.28,Cancelled,Unpaid,Takeaway,Low
O092,2024-09-30,C3710,"Amanda Mitchell",Aurora,IL,"United States",60505,2,S081,M019,Spanakopita,Other,Miscellaneous,1,155.57,11.95,143.62,Completed,Unpaid,Delivery,High
O093,2024-10-22,C8172,"Catherine Garcia",Peoria,IL,"United States",61602,12,S038,M020,Souvlaki,Greek,Appetizer,3,52.38,1.66,50.72,Cancelled,Paid,Dine-in,Medium
O094,2024-10-10,C2654,"Brandy Phillips",Aurora,IL,"United States",60505,3,S046,M019,Spanakopita,Other,Miscellaneous,3,466.71,39.98,426.73,Cancelled,Paid,Delivery,High
O095,2024-09-30,C1843,"Paul Thompson",Chicago,IL,"United States",60601,14,S097,M056,Pastitsio,Other,Miscellaneous,2,207.80,17.79,190.01,Pending,Unpaid,Takeaway,Low
O096,2024-10-22,C2456,"Diana Arnold",Aurora,IL,"United States",60505,15,S041,M036,Loukoumades,Other,Miscellaneous,5,513.90,17.33,496.57,Cancelled,Unpaid,Delivery,Medium
O097,2024-10-18,C9688,"Brian Rodriguez",Peoria,IL,"United States",61602,13,S076,M048,Ravioli,Italian,Pasta,1,158.59,7.81,150.78,Pending,Paid,Delivery,Medium
O098,2024-10-11,C7865,"Charles Williams",Rockford,IL,"United States",61101,14,S060,M060,Baklava,Greek,Dessert,1,57.12,0.55,56.57,Cancelled,Paid,Dine-in,High
O099,2024-09-29,C9536,"Melissa Howard",Peoria,IL,"United States",61602,13,S014,M143,Tzatziki,Greek,Appetizer,2,302.98,5.78,297.20,Cancelled,Paid,Delivery,Medium
O100,2024-09-29,C5418,"Karl Wilkerson",Naperville,IL,"United States",60540,15,S082,M015,"Shish Kebab",Turkish,Kebab,5,690.15,35.60,654.55,Completed,Paid,Delivery,Medium
O1000,2024-10-04,C7678,"Christina Gill",Rockford,IL,"United States",61101,7,S009,M144,Gnocchi,Italian,Pasta,2,151.72,1.53,150.19,Cancelled,Unpaid,Dine-in,Low
O101,2024-09-30,C8035,"Jenny Holder",Peoria,IL,"United States",61602,12,S078,M018,Pastitsio,Other,Miscellaneous,3,512.76,46.96,465.80,Pending,Unpaid,Delivery,Medium
O102,2024-10-14,C6865,"Darren Wilson",Rockford,IL,"United States",61101,11,S029,M071,"Fettuccine Alfredo",Italian,Pasta,4,707.16,48.15,659.01,Cancelled,Unpaid,Dine-in,Low
O103,2024-10-25,C6124,"Brooke Carlson",Rockford,IL,"United States",61101,2,S030,M115,Moussaka,Greek,Casserole,2,191.04,16.96,174.08,Completed,Unpaid,Takeaway,Medium
O104,2024-10-04,C4819,"Mark Campbell",Naperville,IL,"United States",60540,3,S027,M059,Dolmades,Greek,Appetizer,2,302.60,16.81,285.79,Completed,Paid,Takeaway,High
O105,2024-10-24,C296,"Tammy Bauer",Aurora,IL,"United States",60505,13,S022,M056,Pastitsio,Other,Miscellaneous,2,207.80,14.52,193.28,Cancelled,Paid,Dine-in,Medium
O106,2024-10-08,C1557,"Derek Lopez",Chicago,IL,"United States",60601,2,S032,M092,"Greek Salad",Greek,Salad,4,799.40,61.95,737.45,Completed,Unpaid,Takeaway,High
O107,2024-10-09,C4036,"Cassie Vaughn",Naperville,IL,"United States",60540,20,S071,M123,"Adana Kebab",Turkish,Kebab,2,366.16,10.74,355.42,Completed,Paid,Delivery,High
O108,2024-10-03,C2256,"Elizabeth Brown",Aurora,IL,"United States",60505,18,S099,M147,Kofte,Turkish,Pastry,1,21.77,0.69,21.08,Completed,Paid,Delivery,High
O109,2024-10-19,C8739,"Joseph Gonzalez",Peoria,IL,"United States",61602,1,S085,M019,Spanakopita,Other,Miscellaneous,1,155.57,11.87,143.70,Completed,Unpaid,Dine-in,Low
O110,2024-10-24,C2026,"Stephen Green",Aurora,IL,"United States",60505,18,S032,M134,Moussaka,Greek,Casserole,3,177.03,11.33,165.70,Pending,Unpaid,Delivery,Low
O111,2024-10-21,C3959,"Jessica Larsen",Aurora,IL,"United States",60505,17,S087,M034,Tzatziki,Greek,Appetizer,2,339.10,6.38,332.72,Completed,Paid,Dine-in,Medium
O112,2024-10-10,C8528,"Lisa Hill",Peoria,IL,"United States",61602,20,S013,M050,Tiramisu,Other,Miscellaneous,4,466.44,40.43,426.01,Pending,Unpaid,Delivery,Medium
O113,2024-10-18,C9478,"Patrick White",Peoria,IL,"United States",61602,14,S051,M077,"Fettuccine Alfredo",Italian,Pasta,1,125.42,1.15,124.27,Pending,Paid,Takeaway,Low
O114,2024-09-26,C6786,"Samantha Massey",Rockford,IL,"United States",61101,14,S033,M121,Kofte,Turkish,Pastry,3,53.55,1.10,52.45,Pending,Paid,Dine-in,Medium
O115,2024-10-07,C4586,"Erica Wagner",Naperville,IL,"United States",60540,16,S042,M114,"Shish Kebab",Turkish,Kebab,4,679.00,64.24,614.76,Cancelled,Unpaid,Takeaway,Medium
O116,2024-10-13,C6677,"Matthew Smith",Rockford,IL,"United States",61101,6,S093,M096,"Doner Kebab",Turkish,Kebab,5,515.80,50.83,464.97,Completed,Unpaid,Dine-in,Low
O117,2024-10-09,C9952,"Ronald Mcmillan",Peoria,IL,"United States",61602,19,S020,M071,"Fettuccine Alfredo",Italian,Pasta,2,353.58,16.02,337.56,Cancelled,Paid,Takeaway,Medium
O118,2024-10-02,C8052,"Lauren Brown",Peoria,IL,"United States",61602,17,S044,M072,"Caprese Salad",Other,Miscellaneous,2,293.24,7.45,285.79,Completed,Unpaid,Dine-in,Low
O119,2024-10-24,C1707,"John Thompson",Chicago,IL,"United States",60601,5,S082,M142,Ravioli,Italian,Pasta,1,86.36,7.05,79.31,Completed,Paid,Delivery,Low
O120,2024-10-01,C2035,"Marcus Simmons",Aurora,IL,"United States",60505,11,S081,M053,Baklava,Greek,Dessert,1,148.36,5.45,142.91,Pending,Paid,Delivery,High
O121,2024-10-06,C8468,"Evan Murray",Peoria,IL,"United States",61602,5,S082,M148,"Pizza Margherita",Italian,Pasta,1,61.21,4.38,56.83,Completed,Unpaid,Delivery,Low
O122,2024-10-12,C6996,"Melissa Brown",Rockford,IL,"United States",61101,11,S078,M121,Kofte,Turkish,Pastry,1,17.85,0.22,17.63,Completed,Paid,Takeaway,Low
O123,2024-10-15,C8639,"Wayne Sparks",Peoria,IL,"United States",61602,1,S011,M102,Tzatziki,Greek,Appetizer,2,83.58,1.42,82.16,Completed,Unpaid,Delivery,Low
O124,2024-10-01,C2392,"Thomas Powell",Aurora,IL,"United States",60505,9,S019,M113,"Fettuccine Alfredo",Italian,Pasta,4,427.40,24.35,403.05,Completed,Unpaid,Takeaway,Low
O125,2024-10-05,C2782,"William Martin",Aurora,IL,"United States",60505,10,S026,M138,Calzone,Other,Miscellaneous,2,192.02,5.52,186.50,Cancelled,Paid,Takeaway,Medium
O126,2024-10-12,C345,"Victor Holden",Aurora,IL,"United States",60505,6,S009,M041,Moussaka,Greek,Casserole,2,331.40,20.40,311.00,Cancelled,Unpaid,Takeaway,Medium
O127,2024-10-15,C2255,"Christine Lynn",Aurora,IL,"United States",60505,2,S059,M083,Menemen,Other,Miscellaneous,3,245.19,23.63,221.56,Cancelled,Paid,Delivery,Medium
O128,2024-10-25,C2931,"Gary Murphy",Aurora,IL,"United States",60505,10,S085,M100,Lasagna,Italian,Pasta,2,175.72,0.72,175.00,Completed,Unpaid,Dine-in,High
O129,2024-09-27,C1041,"Calvin Hopkins",Chicago,IL,"United States",60601,4,S010,M063,Spanakopita,Other,Miscellaneous,2,89.18,3.40,85.78,Completed,Unpaid,Delivery,Medium
O130,2024-10-19,C2352,"Kathryn Walker",Aurora,IL,"United States",60505,16,S054,M119,"Doner Kebab",Turkish,Kebab,1,32.89,1.16,31.73,Pending,Unpaid,Takeaway,Low
O131,2024-10-15,C8697,"Robert Rodriguez",Peoria,IL,"United States",61602,9,S056,M067,Loukoumades,Other,Miscellaneous,4,600.20,43.65,556.55,Pending,Unpaid,Takeaway,Low
O132,2024-10-25,C5123,"Michael Nichols",Naperville,IL,"United States",60540,20,S046,M071,"Fettuccine Alfredo",Italian,Pasta,2,353.58,0.95,352.63,Cancelled,Unpaid,Delivery,High
O133,2024-10-06,C6461,"Michelle Hubbard",Rockford,IL,"United States",61101,15,S088,M133,Lahmacun,Turkish,Pastry,5,722.40,68.60,653.80,Pending,Paid,Dine-in,Low
O134,2024-10-13,C4050,"Jack Schwartz",Naperville,IL,"United States",60540,12,S010,M042,Kofte,Turkish,Pastry,1,127.43,6.07,121.36,Cancelled,Paid,Takeaway,Low
O135,2024-10-10,C1319,"Julia Mills",Chicago,IL,"United States",60601,12,S100,M146,Dolmades,Greek,Appetizer,4,234.92,5.49,229.43,Completed,Paid,Delivery,Low
O136,2024-10-15,C8575,"Trevor Rodriguez",Peoria,IL,"United States",61602,20,S018,M046,Spanakopita,Other,Miscellaneous,1,33.82,1.32,32.50,Completed,Paid,Takeaway,Medium
O137,2024-10-23,C4163,"Bruce Parsons",Naperville,IL,"United States",60540,20,S001,M137,Lasagna,Italian,Pasta,1,164.93,15.49,149.44,Pending,Paid,Takeaway,Low
O138,2024-09-28,C7110,"Nathan Long",Rockford,IL,"United States",61101,6,S032,M086,Carbonara,Italian,Pasta,1,142.88,13.89,128.99,Completed,Unpaid,Dine-in,Medium
O139,2024-10-03,C306,"Robert Hernandez",Aurora,IL,"United States",60505,19,S039,M008,Risotto,Other,Miscellaneous,1,167.64,11.48,156.16,Completed,Paid,Delivery,Low
O140,2024-10-03,C5301,"Carol Glover",Naperville,IL,"United States",60540,7,S034,M117,"Adana Kebab",Turkish,Kebab,5,855.90,77.91,777.99,Cancelled,Unpaid,Dine-in,High
O141,2024-09-28,C4290,"Ivan Brown",Naperville,IL,"United States",60540,20,S032,M071,"Fettuccine Alfredo",Italian,Pasta,3,530.37,46.58,483.79,Pending,Unpaid,Dine-in,High
O142,2024-10-13,C733,"Randy Francis",Rockford,IL,"United States",61101,19,S045,M034,Tzatziki,Greek,Appetizer,3,508.65,4.27,504.38,Pending,Paid,Delivery,High
