StaffID,FirstName,LastName,Role,Address,"Contact Number",Email,Salary
C040,Ella,Sanders,"Assistant Chef","132 Bay Lane, Chicago, IL",630-037-6401,ella.s@littlelemon.com,"$61,000.00"
C044,Daniel,Diaz,"Assistant Chef","334 Dill Square, Lincoln Park, Chicago, IL",630-656-3907,daniel.d@littlelemon.com,"$58,000.00"
C048,Michael,Wright,"Assistant Chef","245 Dill Square, Lincoln Park, Chicago, IL",630-999-0212,michael.w@littlelemon.com,"$62,000.00"
C053,Giorgos,Dioudis,"Head Chef","879 Sage Street, West Loop, Chicago, IL",351-970-5821,Giorgos.d@littlelemon.com,"$65,000.00"
C054,Fatma,Kaya,"Assistant Chef","132 Bay Lane, Chicago, IL",351-963-5694,Fatma.k@littlelemon.com,"$45,000.00"
H005,Sarah,Davis,Host,"989 Thyme Square, EdgeWater, Chicago, IL",815-115-5375,sarah.d@littlelemon.com,"$25,000.00"
H010,Daniel,Lopez,Host,"132 Bay Lane, Chicago, IL",815-432-8650,daniel.l@littlelemon.com,"$24,000.00"
H018,Henry,Scott,Host,"245 Dill Square, Lincoln Park, Chicago, IL",815-458-4376,henry.s@littlelemon.com,"$23,000.00"
H023,Charlotte,Collins,Host,"989 Thyme Square, EdgeWater, Chicago, IL",815-282-5297,charlotte.c@littlelemon.com,"$26,000.00"
H029,Michael,Diaz,Host,"989 Thyme Square, EdgeWater, Chicago, IL",815-853-7217,michael.d@littlelemon.com,"$22,000.00"
H034,Amelia,Flores,Host,"132 Bay Lane, Chicago, IL",815-147-0353,amelia.f@littlelemon.com,"$21,000.00"
H039,Joseph,Wood,Host,"879 Sage Street, West Loop, Chicago, IL",815-180-5155,joseph.w@littlelemon.com,"$20,000.00"
H046,Liam,Griffin,Host,"132 Bay Lane, Chicago, IL",815-810-7949,liam.g@littlelemon.com,"$18,000.00"
H056,John,Millar,Host,"245 Dill Square, Lincoln Park, Chicago, IL",351-584-5085,John.m@littlelemon.com,"$35,000.00"
M001,John,Doe,"Head Manager","724 Parsley Lane, Old Town, Chicago, IL",312-390-1034,john.d@littlelemon.com,"$75,000.00"
M002,Jane,Smith,"Head Manager","334 Dill Square, Lincoln Park, Chicago, IL",312-345-4177,jane.s@littlelemon.com,"$75,000.00"
M008,James,Garcia,"Head Manager","334 Dill Square, Lincoln Park, Chicago, IL",312-303-7416,james.g@littlelemon.com,"$75,000.00"
M013,Ava,Lewis,"Assistant Manager","724 Parsley Lane, Old Town, Chicago, IL",312-240-2744,ava.l@littlelemon.com,"$63,000.00"
M019,Grace,Perez,"Assistant Manager","724 Parsley Lane, Old Town, Chicago, IL",312-812-7471,grace.p@littlelemon.com,"$65,000.00"
M024,Mason,Reyes,"Assistant Manager","245 Dill Square, Lincoln Park, Chicago, IL",312-801-4183,mason.r@littlelemon.com,"$66,000.00"
M030,Ella,Howard,"Assistant Manager","245 Dill Square, Lincoln Park, Chicago, IL",312-048-0757,ella.h@littlelemon.com,"$68,000.00"
M035,William,Harrison,"Assistant Manager","989 Thyme Square, EdgeWater, Chicago, IL",312-734-5660,william.h@littlelemon.com,"$70,000.00"
M042,Madison,Perry,"Assistant Manager","245 Dill Square, Lincoln Park, Chicago, IL",312-348-1756,madison.p@littlelemon.com,"$72,000.00"
M047,Charlotte,Sullivan,"Assistant Manager","989 Thyme Square, EdgeWater, Chicago, IL",312-541-3250,charlotte.s@littlelemon.com,"$74,000.00"
M051,Mario,Gollini,"Head Manager","724, Parsley Lane, Old Town, Chicago, IL",351-258-0745,Mario.g@littlelemon.com,"$75,000.00"
M052,Adrian,Gollini,"Assistant Manager","334, Dill Square, Lincoln Park, Chicago, IL",351-474-0487,Adrian.g@littlelemon.com,"$65,000.00"
S003,Michael,Brown,"Head Server","879 Sage Street, West Loop, Chicago, IL",773-051-0055,michael.b@littlelemon.com,"$40,000.00"
S006,David,Martinez,Server,"245 Dill Square, Lincoln Park, Chicago, IL",773-341-0927,david.m@littlelemon.com,"$36,000.00"
S012,Matthew,Clark,"Head Server","245 Dill Square, Lincoln Park, Chicago, IL",773-657-6428,matthew.c@littlelemon.com,"$41,000.00"
S014,Liam,Walker,Server,"334 Dill Square, Lincoln Park, Chicago, IL",773-650-4292,liam.w@littlelemon.com,"$32,000.00"
S017,Zoe,King,"Head Server","989 Thyme Square, EdgeWater, Chicago, IL",773-211-6186,zoe.k@littlelemon.com,"$40,000.00"
S022,Benjamin,Edwards,Server,"132 Bay Lane, Chicago, IL",773-618-6274,benjamin.e@littlelemon.com,"$37,000.00"
S025,Aiden,Carter,Server,"724 Parsley Lane, Old Town, Chicago, IL",773-687-1806,aiden.c@littlelemon.com,"$38,000.00"
S028,Sofia,Rivera,Server,"132 Bay Lane, Chicago, IL",773-796-8486,sofia.r@littlelemon.com,"$34,000.00"
S033,Samuel,Fernandez,Server,"879 Sage Street, West Loop, Chicago, IL",773-118-9006,samuel.f@littlelemon.com,"$36,000.00"
S037,Noah,Green,Server,"724 Parsley Lane, Old Town, Chicago, IL",773-305-2139,noah.g@littlelemon.com,"$34,000.00"
S041,David,Price,Server,"989 Thyme Square, EdgeWater, Chicago, IL",773-088-5230,david.p@littlelemon.com,"$38,000.00"
S045,Natalie,Simmons,Server,"879 Sage Street, West Loop, Chicago, IL",773-985-7532,natalie.s@littlelemon.com,"$37,000.00"
S049,Sofia,Butler,Server,"724 Parsley Lane, Old Town, Chicago, IL",773-108-4776,sofia.b@littlelemon.com,"$39,000.00"
S055,Elena,Salvai,"Head Server","989 Thyme Square, EdgeWater, Chicago, IL",351-074-1981,Elena.s@littlelemon.com,"$42,000.00"
